second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
458,1,0,0,27.7165354330709,705.796375289478,3478.89083464567,8291.11186491979,0,19699.8745593092,3478.89083464567,8291.11186491979,7929.87185974374,1429947.57755286,3633837.85010389,-1365100.98625497
459,0,1,0,27.7165354330709,705.796375289478,1135.03763112894,2705.09320869279,0,3840.13083982172,3478.89083464567,8291.11186491979,-7929.87185974374,1433426.4683875,3642128.96196881,-1365100.98625497
460,1,0,0,27.7165354330709,705.796375289478,3478.89083464567,8291.11186491979,0,19699.8745593092,3478.89083464567,8291.11186491979,7929.87185974374,1436905.35922215,3650420.07383373,-1365100.98625497
461,1,0,0,27.8953517907036,710.349900291345,3501.33529164338,8452.62253479812,0,19934.9901497965,3501.33529164338,8452.62253479812,7981.03232335499,1440406.69451379,3658872.69636852,-1365100.98625497
462,0,1,0,27.8953517907036,710.349900291345,1163.67687396868,2809.24862911783,0,3972.92550308651,3501.33529164338,8452.62253479812,-7981.03232335499,1443908.02980544,3667325.31890332,-1365100.98625497
463,1,0,0,27.8953517907036,710.349900291345,3501.33529164338,8452.62253479812,0,19934.9901497965,3501.33529164338,8452.62253479812,7981.03232335499,1447409.36509708,3675777.94143812,-1365100.98625497
464,0,1,0,27.8953517907036,710.349900291345,1163.67687396868,2809.24862911783,0,3972.92550308651,3501.33529164338,8452.62253479812,-7981.03232335499,1450910.70038872,3684230.56397292,-1365100.98625497
465,1,0,0,27.8953517907036,710.349900291345,3501.33529164338,8452.62253479812,0,19934.9901497965,3501.33529164338,8452.62253479812,7981.03232335499,1454412.03568037,3692683.18650772,-1365100.98625497
466,0,1,0,27.9847599695199,712.626662792279,3512.55752014224,8534.15852727751,0,12046.7160474198,3512.55752014224,8534.15852727751,0,1457924.59320051,3701217.34503499,-1365100.98625497
467,1,0,0,28.0741681483363,714.903425293213,3523.7797486411,8616.21718459134,0,20172.1897201987,3523.7797486411,8616.21718459134,8032.19278696624,1461448.37294915,3709833.56221958,-1365100.98625497
468,0,1,0,28.0741681483363,714.903425293213,1192.33943316513,2915.46471310107,0,4107.80414626619,3523.7797486411,8616.21718459134,-8032.19278696624,1464972.15269779,3718449.77940418,-1365100.98625497
469,0,1,0,27.8953517907036,710.349900291345,1163.67687396868,2809.24862911783,0,3972.92550308651,3501.33529164338,8452.62253479812,-7981.03232335499,1468473.48798943,3726902.40193897,-1365100.98625497
470,0,0,1,27.5600711201422,701.812040912843,0,0,-10073.3017722346,0,3459.25193477267,8151.48904172332,-21684.0427487306,1471932.73992421,3735053.8909807,-1375174.2880272
471,0,0,1,26.9565659131318,686.44389403154,0,0,-19838.6272351103,0,3383.50189240539,7627.630430068,-30849.7595575837,1475316.24181661,3742681.52141076,-1395012.91526231
472,0,0,1,26.4424688849378,673.352509651171,0,0,-2720.90099282541,0,3318.97407853696,7199.49365253629,-13239.3687238987,1478635.21589515,3749881.0150633,-1397733.81625514
473,0,0,1,25.8389636779274,657.984362769868,0,0,-27002.5013889977,0,3243.22403616967,6717.7095339606,-36963.4349591279,1481878.43993132,3756598.72459726,-1424736.31764413
474,0,0,1,25.1460502921006,640.339453387631,0,0,-10436.8246264832,0,3156.25176530353,6191.63414537633,-19784.7105371631,1485034.69169662,3762790.35874264,-1435173.14227062
475,0,0,1,24.5425450850902,624.971306506328,0,0,-19250.1427620778,0,3080.50172293625,5756.45003756202,-28087.0945225761,1488115.19341956,3768546.8087802,-1454423.2850327
476,0,0,1,23.6037592075184,601.065300246523,0,0,-35812.1898854249,0,2962.66832369825,5120.81956932922,-43895.6777784524,1491077.86174326,3773667.62834953,-1490235.47491812
