second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
781,1,0,0,12.4053848107696,315.900797004565,1557.08420421641,743.407038496586,0,6737.06269650106,1557.08420421641,743.407038496586,4436.57145378806,932735.521682499,806931.803069084,-1607620.38344452
782,1,0,0,12.5842011684023,320.454322006432,1579.52866121412,776.019981322338,0,5055.86186251773,1579.52866121412,776.019981322338,2700.31321998127,934315.050343713,807707.823050407,-1607620.38344452
783,1,0,0,12.7853695707391,325.577037633533,1604.77867533655,813.833954992498,0,7905.57235263561,1604.77867533655,813.833954992498,5486.95972230656,935919.829019049,808521.657005399,-1607620.38344452
784,0,1,0,12.9194818389637,328.992181384934,1621.61201808484,839.713691745075,0,2461.32570982991,1621.61201808484,839.713691745075,0,937541.441037134,809361.370697144,-1607620.38344452
785,0,1,0,12.9194818389637,328.992181384934,1621.61201808484,839.713691745075,0,2461.32570982991,1621.61201808484,839.713691745075,0,939163.053055219,810201.084388889,-1607620.38344452
786,0,1,0,12.8971297942596,328.4229907597,1010.32028808628,521.361915659422,0,1531.68220374571,1618.80646096012,835.362852275951,-922.487109490369,940781.859516179,811036.447241165,-1607620.38344452
787,0,0,1,12.8077216154432,326.146228258767,0,0,-322.582140742998,0,1607.58423246127,818.109781412552,-2748.27615461681,942389.44374864,811854.557022578,-1607942.96558526
788,0,1,0,12.6959613919228,323.300275132599,382.810173129927,191.429447259005,0,574.239620388932,1593.55644683769,796.879631750611,-1816.19645819937,943983.000195478,812651.436654328,-1607942.96558526
789,0,1,0,12.6512573025146,322.161893882132,1587.94533258827,788.491494311729,0,2376.43682689999,1587.94533258827,788.491494311729,0,945570.945528066,813439.92814864,-1607942.96558526
790,0,1,0,12.6512573025146,322.161893882132,1587.94533258827,788.491494311729,0,2376.43682689999,1587.94533258827,788.491494311729,0,947158.890860655,814228.419642952,-1607942.96558526
791,0,1,0,12.6289052578105,321.592703256899,980.8416608352,485.315769309808,0,1466.15743014501,1585.13977546355,784.31959031757,-903.301935636114,948744.030636118,815012.739233269,-1607942.96558526
792,0,0,1,12.4724409448819,317.608368880265,0,0,-3031.63506104566,0,1565.50087559055,755.527568690816,-5352.66350532702,950309.531511709,815768.26680196,-1610974.6006463
793,0,1,0,12.3159766319533,313.624034503631,946.832808250311,445.558875390387,0,1392.3916836407,1545.86197571755,727.448940729339,-880.919232806192,951855.393487426,816495.71574269,-1610974.6006463
794,0,1,0,12.2936245872492,313.054843878397,1543.05641859284,723.49542255108,0,2266.55184114392,1543.05641859284,723.49542255108,0,953398.449906019,817219.211165241,-1610974.6006463
795,0,1,0,12.2936245872492,313.054843878397,1543.05641859284,723.49542255108,0,2266.55184114392,1543.05641859284,723.49542255108,0,954941.506324612,817942.706587792,-1610974.6006463
796,0,1,0,12.2936245872492,313.054843878397,1543.05641859284,723.49542255108,0,2266.55184114392,1543.05641859284,723.49542255108,0,956484.562743205,818666.202010343,-1610974.6006463
797,0,1,0,12.2936245872492,313.054843878397,1543.05641859284,723.49542255108,0,2266.55184114392,1543.05641859284,723.49542255108,0,958027.619161797,819389.697432894,-1610974.6006463
798,0,1,0,12.2936245872492,313.054843878397,1543.05641859284,723.49542255108,0,2266.55184114392,1543.05641859284,723.49542255108,0,959570.67558039,820113.192855445,-1610974.6006463
799,1,0,0,12.3159766319533,313.624034503631,1545.86197571755,727.448940729339,0,3154.23014925308,1545.86197571755,727.448940729339,880.919232806192,961116.537556108,820840.641796174,-1610974.6006463
800,1,0,0,12.4277368554737,316.469987629798,1559.88976134112,747.432699659428,0,5862.97468198242,1559.88976134112,747.432699659428,3555.65222098187,962676.427317449,821588.074495834,-1610974.6006463
801,1,0,0,12.6289052578105,321.592703256899,1585.13977546355,784.31959031757,0,6885.96904396176,1585.13977546355,784.31959031757,4516.50967818064,964261.567092913,822372.394086151,-1610974.6006463
802,1,0,0,13.0759461518923,332.976515761568,1641.25091795784,870.593293913075,0,16541.0025927683,1641.25091795784,870.593293913075,14029.1583808974,965902.81801087,823242.987380064,-1610974.6006463
803,1,0,0,13.6347472694945,347.206281392404,1711.38984607569,987.045616865916,0,12450.8988388361,1711.38984607569,987.045616865916,9752.46337589448,967614.207856946,824230.03299693,-1610974.6006463
804,1,0,0,14.0817881635763,358.590093897073,1767.50098856998,1087.35002207441,0,12927.0672841092,1767.50098856998,1087.35002207441,10072.2162734648,969381.708845516,825317.383019005,-1610974.6006463
805,1,0,0,14.5288290576581,369.973906401742,1823.61213106426,1194.22948410573,0,13409.8107862051,1823.61213106426,1194.22948410573,10391.9691710351,971205.32097658,826511.61250311,-1610974.6006463
806,0,1,0,14.752349504699,375.665812654077,1851.6677023114,1250.20009016827,0,3101.86779247967,1851.6677023114,1250.20009016827,0,973056.988678892,827761.812593279,-1610974.6006463
807,1,0,0,14.8864617729235,379.080956405477,1868.50104505969,1284.6073625221,0,9541.77130103663,1868.50104505969,1284.6073625221,6388.66289345484,974925.489723951,829046.419955801,-1610974.6006463
808,1,0,0,15.1099822199644,384.772862657812,1896.55661630683,1343.3457544091,0,7562.96154586656,1896.55661630683,1343.3457544091,4323.05917515062,976822.046340258,830389.76571021,-1610974.6006463
809,1,0,0,15.2664465328931,388.757197034446,1916.19551617983,1385.51052841115,0,6577.5744801988,1916.19551617983,1385.51052841115,3275.86843560783,978738.241856438,831775.276238621,-1610974.6006463
810,0,1,0,15.3111506223012,389.895578284913,1287.77794244972,936.59261354804,0,2224.37055599776,1921.80663042926,1397.7175997468,-1095.1536741783,980660.048486867,833172.993838368,-1610974.6006463
811,0,1,0,15.244094488189,388.188006409213,646.222897034166,465.886037117454,0,1112.10893415162,1913.38995905512,1379.43373652603,-2180.71476142953,982573.438445922,834552.427574894,-1610974.6006463
812,0,1,0,15.1993903987808,387.049625158746,1907.77884480569,1367.33350986375,0,3275.11235466944,1907.77884480569,1367.33350986375,0,984481.217290728,835919.761084758,-1610974.6006463
813,0,1,0,15.1770383540767,386.480434533512,1271.84851658162,908.873706751719,0,2180.72222333334,1904.97328768098,1361.31002290359,-1085.56108725123,986386.190578409,837281.071107661,-1610974.6006463
814,0,0,1,15.0876301752604,384.203672032578,0,0,-6.35405331598275,0,1893.75105918212,1337.39297540129,-3237.49808789939,988279.941637591,838618.464083062,-1610980.95469962
815,0,0,1,14.9088138176276,379.650147030711,0,0,-2170.1703898109,0,1871.3066021844,1290.40257498963,-5331.87956698493,990151.248239776,839908.866658052,-1613151.12508943
816,0,1,0,14.7747015494031,376.23500327931,1224.39395551888,829.187409840228,0,2053.58136535911,1854.47325943612,1255.89143239289,-1056.7833264699,992005.721499212,841164.758090445,-1613151.12508943
817,0,0,1,14.6405892811786,372.819859527909,0,0,-2176.31261800701,0,1837.63991668783,1222.00116301899,-5235.95369771384,993843.361415899,842386.759253464,-1615327.43770744
818,0,0,1,14.4170688341377,367.127953275575,0,0,-2179.54933588902,0,1809.58434544069,1166.88179199155,-5156.01547332126,995652.94576134,843553.641045455,-1617506.98704333
819,0,1,0,14.2829565659131,363.712809524174,1167.1065282798,738.653598601643,0,1905.76012688144,1792.75100269241,1134.61963192616,-1021.61050773713,997445.696764033,844688.260677382,-1617506.98704333
820,0,0,1,14.1935483870968,361.436047023241,0,0,-150.672252750885,0,1781.52877419355,1113.44532241281,-3045.64634935724,999227.225538226,845801.705999794,-1617657.65929608
821,0,1,0,14.1041402082804,359.159284522307,1146.47856680603,707.543689546344,0,1854.02225635237,1770.30654569469,1092.53610249199,-1008.82039183431,1000997.53208392,846894.242102286,-1617657.65929608
822,0,0,1,13.8806197612395,353.467378269972,0,0,-6151.83188692553,0,1742.25097444755,1041.41186122928,-8935.49472260235,1002739.78305837,847935.653963516,-1623809.491183
823,0,0,1,13.5453390906782,344.92951889147,0,0,-3145.18468602116,0,1700.16761757684,967.755374230244,-5813.10767782824,1004439.95067595,848903.409337746,-1626954.67586902
824,0,1,0,13.3888747777496,340.945184514836,1065.1204554219,592.353519831599,0,1657.47397525349,1680.52871770384,934.605185772763,-957.659928223104,1006120.47939365,849838.014523519,-1626954.67586902
825,0,1,0,13.3665227330455,340.375993889603,1677.72316057912,929.93216851932,0,2607.65532909844,1677.72316057912,929.93216851932,0,1007798.20255423,850767.946692038,-1626954.67586902
826,0,1,0,13.3665227330455,340.375993889603,1677.72316057912,929.93216851932,0,2607.65532909844,1677.72316057912,929.93216851932,0,1009475.92571481,851697.878860557,-1626954.67586902
827,0,1,0,13.3665227330455,340.375993889603,1677.72316057912,929.93216851932,0,2607.65532909844,1677.72316057912,929.93216851932,0,1011153.64887539,852627.811029077,-1626954.67586902
828,0,0,1,13.2994665989332,338.668422013902,0,0,-268.481492931785,0,1669.30648920498,916.006628678253,-2853.79461081502,1012822.95536459,853543.817657755,-1627223.15736196
829,0,1,0,13.2100584201168,336.391659512969,1045.08242138568,565.788489619424,0,1610.8709110051,1658.08426070612,897.656462619274,-944.869812320291,1014481.0396253,854441.474120374,-1627223.15736196
830,0,1,0,13.1877063754128,335.822468887735,1655.27870358141,893.107536517615,0,2548.38624009902,1655.27870358141,893.107536517615,0,1016136.31832888,855334.581656892,-1627223.15736196
831,0,1,0,13.1430022860046,334.684087637268,425.533338852819,228.043052935297,0,653.576391788116,1649.66758933198,884.055840169535,-1880.1470377134,1017785.98591821,856218.637497061,-1627223.15736196
832,0,0,1,13.00889001778,331.268943885868,0,0,-1231.82136175522,0,1632.83424658369,857.268119379521,-3721.92372771843,1019418.82016479,857075.905616441,-1628454.97872371
833,0,0,1,12.7630175260351,325.0078470083,0,0,-3978.71548682306,0,1601.97311821184,809.573052907773,-6390.26165794267,1021020.79328301,857885.478669349,-1632433.69421053
834,0,0,1,12.494792989586,318.177559505498,0,0,-2140.64348208748,0,1568.30643271527,759.596828742353,-4468.54674354509,1022589.09971572,858645.075498091,-1634574.33769262
835,0,0,1,12.2265684531369,311.347272002697,0,0,-3875.30861118001,0,1534.63974721869,711.720865584908,-6121.66922398361,1024123.73946294,859356.796363676,-1638449.6463038
836,0,0,1,11.7348234696469,298.825078247561,0,0,-10488.0993663593,0,1472.91749047498,629.253484996765,-12590.270341831,1025596.65695342,859986.049848673,-1648937.74567016
837,0,0,1,10.997205994412,280.041787614857,0,0,-12260.4276375845,0,1380.33410535941,517.896561469494,-14158.6583044134,1026976.99105877,860503.946410142,-1661198.17330775
838,0,0,1,10.2148844297689,260.120115731686,0,0,-10723.6156172062,0,1282.13960599441,415.046082918091,-12420.8013061187,1028259.13066477,860918.99249306,-1671921.78892495
839,0,0,1,9.499618999238,241.906015724216,0,0,-8665.94017436852,0,1192.36177800356,333.821657681579,-10192.1236100537,1029451.49244277,861252.814150742,-1680587.72909932
840,0,0,1,8.8737617475235,225.968678217679,0,0,-6865.3231713836,0,1113.80617851156,272.094171906733,-8251.22352180189,1030565.29862128,861524.908322649,-1687453.0522707
841,0,1,0,8.58318516637033,218.569200089645,1077.33393589027,246.230242251743,0,1323.56417814201,1077.33393589027,246.230242251743,0,1031642.63255717,861771.1385649,-1687453.0522707
